Reference, Value
BD901,600v / 4A
C101,1µ/50v
C102,1µ/50v
C103,1n
C104,100n
C105,100n
C106,10n
C107,22µ/50v
C108,1n
C109,560n
C201,47µ/16v
C202,47µ/16v
C203,47µ/16v
C210,100n
C211,2µ2/50v
C212,2µ2/50v
C213,2µ2/50v
C214,100n
C215,100n
C216,100n
C217,100n
C218,100n
C219,100n
C221,100µ/25v
C222,22µ/50v
C280,10µ/16v
C281,100n
C292,100n
C301,330p
C302,2n2
C311,330p
C312,2n2
C321,330p
C322,2n2
C331,330p/1000v
C332,10µ/160v
C333,NP
C334,NP
C400,100n
C401,100n
C402,470µ/16v
C403,10n
C404,1µ
C405,1µ
C406,1000µ/35v
C407,100µ/35v
C408,100µ/35v
C409,120µ/35v
C410,2n2
C411,2µ2 NoPola
C413,100n
C414,100n
C415,NP
C450,100n
C451,22µ/50v
C452,100n
C453,10n
C454,4n7
C455,10µ/50v
C456,10µ/50v
C457,10µ/50v
C458,22µ/50v
C459,22µ/50v
C460,NP
C501,2n2
C502,47n
C503,100µ/35v
C504,10n/1.6kv
C505,9n1/1.6kv
C506,39n/400v
C507,1µ/400v
C508_or_C520,NP
C509,1µ5/100v
C510,1µ5/100v
C511,18n/630v
C512,15n/630v
C513,10µ/250v
C514,100n/250v
C515,100µ/160v
C516,100n
C517,NP
C519,680n/400v
C521,NP
C522,1n/50v
C531,330n/200v
C532,NP
C550,100p
C551,1n
C552,390p
C553,6n8
C554,1µ/50v
C555,10n
C556,1µ/50v
C557,4n7
C558,100n
C559,100n
C560,100n
C561,47µ/16v
C562,100µ/25v
C564,470n
C566,100n
C567,1µ
C901,100n
C902,NP
C911,1000µ/200v
C912,100n
C914,470p/1Kv
C915,470p/1Kv
C921,2n2
C923,6n8
C924,100n 
C925,100n 
C926,NP
C927,100n 
C951,180µ/100v
C952,220µ/100v
C953,47µ/160v
C954,1000µ/35v
C955,180µ/25v
C956,680µ/16v
C957,100µ/35v
C958,47µ/16v
C961,100n
C962,330n
C963,220p/1Kv
C991,1n 2Kv
C992,1n 2Kv
C994,2n2/1Kv
C995,NP
CN101,JST JH
CN101W1,Conn_01x06_Male
CN102,Conn_01x08_Male
CN280,Conn_01x12_Male
CN301,Conn_01x01_Male
CN301W1,Conn_01x01_Female
CN302,JST JH
CN303,Conn_01x05_Female
CN402,B10B_PH-K-S
CN570,Conn_01x05_Male
CN901,B2P3-VH
CN901W1,Conn_01x03_Male
CN902,Conn_01x05_Female
CN903,Degauss
CRT1,M68JUA068X
D101,DAN217
D102,DAN202K
D103,DAN202K
D105,DAN202K
D201,DAN217
D202,DAN217
D203,DAN217
D204,DAN217
